property_links,title,address,tags,property_id,price,bedroom,room,bathroom,garage,property_type,property_status,guest_number,address_detail,city,state,zip_code,area,country,class
https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,bingin beach hideaway group villa pool bbq,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",featur bali vacat rental group friendli stay long stay trend properti new list privat privat pool top trend new,pr0874,161,3,3,3,1,amaz pool island life pool view surf tropic villa,"Bali Vacation Rental, Group Friendly Stay, Long Stay Trend Property, New Listing, Private, Private Pool, Top Trending",6,jl pantai cemongkak gg samuh sari pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Bingin,Indonesia,villa
https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,bedroom mediterranean luxuri villa ubud rooftop view,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",featur bali vacat rental group friendli stay instagram stay long stay trend properti privat privat pool top trend new,pr0960,202,4,4,4,1,amaz pool amaz view jungl view pool view tropic villa,"Bali Vacation Rental, Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Private, Private Pool, Top Trending",8,jl suweta ubud kecamatan ubud kabupaten gianyar bali,Bali,Bali,80571,Ubud,Indonesia,villa
https://www.bukitvista.com/property/nusa-dua-seafront-villa,luxuri bedroom nusa dua seafront villa w privat beach,,featur bali vacat rental top trend,pr0242,715,3,,4,,beachfront villa,"Bali Vacation Rental, Top Trending",6,jl raya nusa dua selatan sawangan nusa dua kabupaten badung bali,Bali,Bali,80363,Nusa Dua,Indonesia,villa
https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,grand villa retreat w pool garden ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",featur group friendli stay long stay trend properti new list privat pool top trend new,pr0857,84,2,,2,,amaz pool golf pool view villa,"Group Friendly Stay, Long Stay Trend Property, New Listing, Private Pool, Top Trending",4,jl pantai balangan x ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80361,Balangan,Indonesia,villa
https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,surfer villa min bingin dreamland beach bukit vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",featur long stay trend properti new list privat pool top trend,pr0925,118,2,,2.5,,pool view villa,"Long Stay Trend Property, New Listing, Private Pool, Top Trending",4,jl bangbang metuug pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Pecatu,Indonesia,villa
https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,privat pool villa minut bingin surf bukit vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",featur long stay trend properti new list privat pool top trend,pr0925,165,2,,2,,pool view villa,"Long Stay Trend Property, New Listing, Private Pool, Top Trending",4,jl bangbang metuug pecatu kec kuta sel kabupaten badung bali,Bali,Bali,80361,Pecatu,Indonesia,villa
https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,ungasan exquisit villa w rooftop privat pool bukit vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",featur group friendli stay new list privat pool top trend,pr0936,167,3,,3.5,,amaz pool golf surf tropic villa,"Group Friendly Stay, New Listing, Private Pool, Top Trending",6,jl pesakapan indah ungasan kec kuta sel kabupaten badung bali,Bali,Bali,80361,Ungasan,Indonesia,villa
https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,sun soak canggu villa perfect famili,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",featur new list privat pool top trend,pr0922,100,2,,2,,villa,"New Listing, Private Pool, Top Trending",4,tibubeneng kuta utara badung bali,Bali,Bali,80361,Canggu,Indonesia,villa
https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,sunni exquisit umala villa minut canggu,,bali vacat rental,pr0901,108,2,,2,,guest hous villa,Bali Vacation Rental,4,jl umala klecung,Bali,Bali,80571,Umalas,Indonesia,villa
https://www.bukitvista.com/property/ubuds-verdant-hideaway-w-pool-garden-views,ubud verdant hideaway w pool garden view,,featur new list top trend,pr0512,34,1,,1,,guest hous,"New Listing, Top Trending",2,jl tirta tawar,Bali,Bali,80571,Ubud,Indonesia,guest house
https://www.bukitvista.com/property/dazzling-villa-with-pool-and-rooftop-in-bingin,dazzl villa pool rooftop bingin,,featur new list top trend,pr0803,202,2,,2,,villa,"New Listing, Top Trending",4,pecatu south kuta badung regenc bali,Bali,Bali,80361,Bingin,Indonesia,villa
https://www.bukitvista.com/property/sun-soaked-2br-villa-w-pool-15-min-ride-to-beach,sun soak br villa w pool min ride beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",bali vacat rental good deal,pr0921,91,2,,2,,villa,"Bali Vacation Rental, Good Deal",4,jalan toya ning ii,Bali,Bali,,Canggu,Indonesia,villa
https://www.bukitvista.com/property/voguish-penthouse-with-rooftop-pool-near-canggu,voguish penthous rooftop pool near canggu,"Denpasar, Bali, Nusa Tenggara, Indonesia",featur new list top trend,pr0929,89,2,,2,,villa,"New Listing, Top Trending",4,jl canggu permai gg rajawali,Bali,Bali,,Canggu,Indonesia,villa
https://www.bukitvista.com/property/artisanal-berawa-villa-11-mins-ride-to-beach,artisan berawa villa min ride beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",bali vacat rental,pr0853,73,2,,2,,villa,Bali Vacation Rental,4,jl abasan gang homey abasan,Bali,Bali,,Canggu,Indonesia,villa
https://www.bukitvista.com/property/ocean-view-eco-dorms-at-nusa-lembongan-hilltop,ocean view eco dorm nusa lembongan hilltop,,bali vacat rental good deal nusa penida vacat rental,pr0782,28,1,,1,,guest hous ocean view,"Bali Vacation Rental, Good Deal, Nusa Penida Vacation Rental",2,cw j banjar ancak nusa lembongan kec nusa penida kabupaten klungkung bali,Nusa Penida,Nusa Penida,80771,Nusa Penida,Indonesia,guest house
